age,no_of_respondents
44,232000
67,250000
67,262000
68,265000
67,265000
68,275000
68,280000
67,285000
68,285000
67,285000
68,288500
67,295000
67,295000
67,297000
68,298000
67,298000
67,300000
68,301000
67,306000
68,312000
67,312000
73,321000
67,325000
67,325000
67,328000
74,330000
68,330000
73,335000
68,338000
82,366000
73,373000
82,375000
81,390000
92,400000
91,400000
94,403000
92,410000
98,425888
97,430000
92,435000
91,435000
92,440000
97,460000
97,518000
99,518000
98,560000
90,688000
91,730000
91,756000
45,238000
68,272000
59,278000
68,280000
59,280000
63,281000
68,285000
68,285000
70,287000
68,290000
60,290000
68,293000
60,300000
67,300000
65,300000
65,300000
60,300000
60,301888
67,305000
68,310000
67,310000
68,310000
75,310000
70,312000
65,312000
66,312000
68,313000
67,332000
73,336000
82,358000
82,360000
82,365000
84,350000
90,350000
84,350000
90,358000
82,358000
82,375000
91,380000
91,382000
84,384000
84,385000
91,390000
84,392000
84,395000
92,395000
91,410000
93,412000
98,420000
91,425000
92,430000
90,499000
92,580000
97,671000
64,255000
64,255000
68,260000
60,260000
73,260000
67,269000
67,270000
69,275000
73,278000
67,280000
73,280000
67,285000
69,285000
73,285000
73,285000
67,292000
73,300000
68,300000
67,300188
73,303000
73,305000
69,315000
68,335000
84,338000
91,375000
92,408000
90,440000
92,440000
98,440000
86,455000
99,465000
34,218000
34,230000
45,245000
51,300000
65,295000
54,300000
59,300000
59,302000
67,313000
65,322000
58,333000
73,338000
67,340000
67,340000
59,350000
65,353000
65,363000
59,365000
65,378000
73,385000
76,400000
67,405000
68,580000
88,635000
88,637000
77,638000
69,650000
74,395000
82,458000
81,470000
88,550000
91,595000
95,648000
95,680000
95,688000
90,690000
90,722000
85,735000
85,748000
89,790000
95,865000
81,470000
73,266000
73,276000
73,298000
68,325000
90,330000
91,340000
91,345000
91,365000
90,370000
93,408000
93,410000
55,250000
84,360000
68,400000
66,428000
59,455000
68,470000
68,470000
82,685000
93,788000
95,818000
95,903000
73,273000
73,285000
73,293000
90,325000
91,345000
68,263800
68,270000
67,280000
67,290000
68,326000
67,335000
67,345000
67,348000
67,355000
67,365000
82,368000
67,370000
82,415000
82,425000
82,430000
70,528000
93,385000
92,397000
91,425000
91,461000
92,488000
97,548000
91,552000
92,575000
90,620000
42,205000
42,215000
46,220000
60,230000
60,235000
56,238000
61,255000
64,256000
59,260000
60,262000
59,263000
55,269000
57,272000
59,275000
61,280000
64,320000
65,328000
56,330000
72,338000
65,368000
74,390000
60,459888
84,355000
91,455000
47,252000
73,260000
60,268000
67,269000
67,270000
60,275000
69,280000
68,285000
64,290000
64,290000
64,292000
67,292000
73,305000
67,308000
67,309888
67,316500
98,320000
85,335000
93,338000
91,350000
93,353000
84,357000
91,358000
92,380000
96,420000
91,431000
56,240000
52,258000
59,240000
67,240000
59,245000
67,245000
59,251000
67,265000
73,268000
64,269000
73,275000
73,275000
73,275000
65,279000
73,280000
74,290000
67,295000
67,305000
74,310000
79,315000
74,320000
82,355000
124,570000
135,580000
125,605000
121,628888
119,652800
142,710000
137,520000
148,540000
137,545000
137,550000
137,592000
151,600000
150,620000
148,640000
155,656888
148,665000
148,720000
148,815000
83,255000
67,255000
67,265000
67,280000
73,280000
68,285000
67,290000
74,299000
74,300000
67,300000
67,303000
84,333000
83,315000
97,330000
83,345000
99,348000
97,350000
95,370000
90,370000
99,380000
94,400000
99,408000
98,423000
104,430000
92,445000
91,455000
92,470000
101,533000
92,470000
120,488000
120,515000
135,530000
118,598000
122,609000
120,630000
121,645000
122,655000
144,680000
145,858000
48,200000
59,205000
59,225000
59,225000
68,230000
65,235000
64,235000
67,237000
65,239000
59,240000
59,240000
68,240000
65,243000
61,250000
74,258888
64,263000
65,265000
65,267000
74,269888
77,285000
74,285000
73,293000
67,294000
73,295000
82,310000
67,310000
74,317000
67,322000
74,323000
74,330000
67,358000
82,368000
90,310000
90,313800
104,315000
107,317000
106,320000
104,320000
104,320000
107,325000
105,330000
91,335000
104,335000
90,335000
109,335000
84,340000
105,340000
84,342000
104,343000
103,343000
86,345000
108,346500
104,347000
107,348000
103,350000
104,350000
103,350000
106,352000
103,355000
109,355000
104,358000
90,360000
92,360000
86,360000
104,362000
106,368000
91,373000
119,375000
103,375000
90,376500
102,380000
104,380000
91,380000
103,380000
108,383000
104,385000
92,386000
92,388000
102,390000
91,390000
91,392000
100,393888
104,395000
85,405000
93,408000
100,410000
91,410888
102,420000
102,425000
91,425000
93,430000
104,460000
126,385000
122,390000
138,398000
121,400000
122,410000
111,412000
125,415000
120,420000
116,420000
110,428000
122,430000
123,435000
135,440000
110,450000
126,465000
114,470088.88
127,475000
110,475000
110,475000
110,475000
115,476000
110,478000
110,478000
133,485000
115,485000
134,485000
110,488000
